date,new_cases
2020-01-21,1
2020-01-22,0
2020-01-23,0
2020-01-24,1
2020-01-25,1
2020-01-26,2
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,1
2020-01-31,1
2020-02-01,1
2020-02-02,3
2020-02-03,0
2020-02-04,0
2020-02-05,1
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,2
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,1
2020-02-27,0
2020-02-28,4
2020-02-29,5
2020-03-01,18
2020-03-02,15
2020-03-03,28
2020-03-04,26
2020-03-05,64
2020-03-06,77
2020-03-07,100
2020-03-08,143
2020-03-09,148
2020-03-10,289
2020-03-11,271
2020-03-12,358
2020-03-07,100
2020-03-08,143
2020-03-09,148
2020-03-10,289
2020-03-11,271
2020-03-12,395
2020-03-13,562
2020-03-14,660
2020-03-15,670

